ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 12,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 19,กลุ่มที่ 21
เพชรเวช,None,None,Private,200,4810,9,306,100,2383,0.03986571548468317,0.9601342845153168,3036.3028169014083,34656.68421052631,7208.0,908.8888888888889,3022.8153846153846,1784.577868852459,1150.28125,0.0,0.0,1320.764705882353,10155.2
เมดพาร์ค,Top,None,Private,205,11000,9,394,430,106,0.11320754716981132,0.8867924528301887,19552.485,48999.333333333336,2236.4,0.0,0.0,1667.25,8303.125,0.0,0.0,1550.0,0.0
เลิดสิน,None,None,Public,609,1600,9,185,100,195,0.14871794871794872,0.8512820512820513,0.0,10325.0,0.0,256.5,1256.4166666666667,0.0,0.0,0.0,0.0,0.0,0.0
เวชธานี,None,None,Private,263,5850,8,722,150,2752,0.06722383720930232,0.9327761627906976,9469.750484848486,51845.602307692316,10814.18076923077,7727.884615384615,18883.219695431475,3420.131854304635,2057.623686440678,0.0,0.0,3182.311,2821.8
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,100,186,0.043010752688172046,0.956989247311828,1389.340909090909,0.0,0.0,0.0,2350.0,630.703125,1045.625,0.0,0.0,373.6666666666667,489.25
แพทย์ปัญญา,None,None,Private,125,2150,9,22,100,125,0.176,0.824,84425.33333333333,23079.0,14020.0,782.05,8745.733333333334,65347.833333333336,749.0,0.0,0.0,993.5,216.0
ไทยจักษุ,None,None,Private,10,3000,2,23,100,57,0.19298245614035087,0.8070175438596491,0.0,0.0,0.0,0.0,0.0,1770.0,0.0,0.0,0.0,0.0,0.0
ไทยนครินทร์,None,None,Private,190,6020,9,346,125,3689,0.07291949037679588,0.9270805096232041,7824.689814814815,9507.066666666668,5538.9,2717.5632183908046,4290.628318584071,3346.797455968689,2227.853503184713,39988.0,65620.0,1993.4242424242425,6540.875
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,300,5698,0.06282906282906282,0.9378729378729379,6832.9372,47453.88264150943,4069.023968253968,3151.8166816143494,9853.18502283105,3723.676149870801,2472.5879963570137,21879.899999999998,105070.0,5257.188823529411,3912.529433962264
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,400,5016,0.06299840510366826,0.9370015948963317,5798.735915492958,19314.8,1947.0416666666667,3005.483870967742,5519.875576036867,2934.541095890411,2155.8613138686133,70678.14285714286,840.0,10884.108108108108,4257.85294117647
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,100,577,0.06239168110918544,0.9376083188908145,2276.574468085106,70485.83333333333,0.0,1249.5714285714287,5360.8378378378375,1606.3076923076924,3697.0,0.0,0.0,29064.5,1150.0
กลาง,None,None,Public,475,3000,9,116,30,155,0.14193548387096774,0.8580645161290322,952.6875,0.0,0.0,436.5,4785.39,1356.53125,0.0,0.0,10642.0,0.0,2370.0
คลองตัน,None,None,Private,30,2000,4,21,100,37,0.21621621621621623,0.7837837837837838,17553.333333333332,0.0,0.0,0.0,0.0,7532.0,0.0,0.0,0.0,0.0,0.0
คามิลเลียน,None,None,Private,120,4400,7,146,100,749,0.021361815754339118,0.9786381842456608,3547.4375,61761.0,500.0,1087.8,1191.0714285714287,1184.036231884058,1064.88,0.0,0.0,907.375,717.1449275362319
จุฬาภรณ์,None,None,Public,115,3500,8,445,100,529,0.15500945179584122,0.8468809073724007,17270.666666666668,7834.161470588235,6784.791666666667,125.0,3277.1875,554.53125,1320.25,2230.0,0.0,0.0,506.0769230769231
