ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,0.1182608695652174,0.8817391304347826,575,5658.642857142857,2987.024390243902,933.0,8118.056074766355,5776.379746835443,10363.8,2670.734693877551,0.0,4960.536585365854,4062.348837209303
ลาดพร้าว,None,None,Private,180,4700,8,206,0.06286337209302326,0.9372577519379846,8256,6319.916856540083,2300.5309375,7167.791779661017,3047.733063063063,2783.05737876802,7412.692765598652,6130.034960422165,0.0,2541.844058171745,4058.524672131148
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,0.099009900990099,0.9009900990099008,202,848.6666666666665,880.0,530.0,8976.591666666667,1155.787878787879,1320.909090909091,8303.666666666666,0.0,739.4285714285713,6851.041666666668
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,0.1222910216718266,0.8792569659442725,646,7042.282608695652,1126.770833333333,3318.0,882.1428571428571,4565.361842105263,9425.745098039217,1154.34375,0.0,5006.113207547171,3264.371428571429
วิภาราม,None,VIBHA,Private,150,2200,9,272,0.05482972799314628,0.9451702720068536,4669,4089.262987012987,4594.938181818182,1767.868421052631,2042.005586592179,3233.57684729064,4954.089552238806,4826.91095890411,0.0,2228.230061349693,5986.444610778443
วิมุต,None,None,Private,236,5900,7,232,0.04135338345864661,0.9586466165413534,266,8956.182857142858,0.0,980.0,2759.880735294118,912.020625,5614.733333333334,1204.48,0.0,1743.285714285714,2004.675384615384
ศิครินทร์,None,None,Private,258,5100,9,348,0.08176905574516496,0.9182309442548352,7032,7979.404913043477,2541.45189010989,4360.649275362319,2777.823368421053,3711.878502604168,9385.670026041664,5826.521815718157,1337.25,5127.91899159664,4956.834066666667
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,173,0.2446808510638298,0.7553191489361702,94,4850.0,1221.923076923077,0.0,23429.77777777778,689.9852941176471,4958.0,1133.0,0.0,1594.666666666667,586.5
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,0.04176201372997712,0.9582379862700228,1748,12861.80992248062,1499.495813953488,1595.955555555556,1943.602222222222,2911.833758542142,4404.825664335664,3216.893059701493,0.0,2455.937978723405,3943.142164179104
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,0.09243697478991596,0.9075630252100841,119,6860.0,10561.53846153846,350.0,7196.451142857143,992.6363636363636,18057.14285714286,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,0.03333333333333333,0.9666666666666668,30,0.0,0.0,0.0,1433.5,523.8333333333334,0.0,0.0,0.0,0.0,3407.5
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,0.0847457627118644,0.9152542372881356,354,10131.14285714286,2749.821428571428,4626.416666666667,0.0,1617.361071428571,8036.852459016392,6796.428571428572,0.0,3861.08,7617.176470588235
สุขสวัสดิ์,None,None,Private,100,4200,8,49,0.1666666666666667,0.8333333333333334,30,0.0,0.0,0.0,6318.733333333334,1145.0,15365.525,0.0,0.0,8160.0,5084.706666666666
สุขุมวิท,None,RAM,Private,135,2760,8,46,0.06619718309859154,0.9342723004694836,2130,5739.838323353293,2174.936170212766,2587.4,10634.76351351351,3440.684297520661,5016.565891472868,8246.753086419752,0.0,3905.210084033613,4210.091503267974
หัวเฉียว,None,None,Private,338,3300,6,391,0.03787506148548942,0.9621249385145104,4066,2156.866236162361,2891.639022222222,1422.916666666667,3998.001028806584,1626.059391447368,4083.379844961241,3220.538990825688,0.0,1852.008648648648,3728.023111111111
อินทรารัตน์,None,None,Private,152,3800,8,21,0.04065040650406504,0.9593495934959351,123,0.0,0.0,0.0,5358.234848484848,1100.0,0.0,0.0,0.0,0.0,1580.25
