ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
นวเวช,None,None,Private,99,4000,8,240,0.03333333333333333,0.9666666666666667,30,5039.999999999999,2000.0,0.0,1322.5883333333334,433.57142857142856,1350.5,0.0,0.0,0.0,589.6
นวมินทร์,None,None,Private,180,3000,9,92,0.1,0.9,40,1016.0,0.0,0.0,0.0,880.375,2862.5,0.0,62324.0,6802.8,2535.5
นวมินทร์ 9,None,None,Private,245,3280,9,179,0.08873563218390805,0.911264367816092,2175,7833.093959731544,1219.319587628866,4807.363636363636,1363.8947368421052,3629.896385542169,5471.908045977011,9715.051724137931,0.0,2051.711956521739,5314.737777777777
บางโพ,None,None,Private,100,3700,9,155,0.13191489361702127,0.8680851063829788,1645,9702.911517857143,4583.039714285715,15961.26904761905,7431.89223880597,4175.763686746988,11095.800000000001,8455.673194444444,0.0,5055.651230769231,4945.75782051282
บางไผ่,None,None,Private,100,3530,9,8,0.03225806451612903,0.967741935483871,186,5722.625,1558.6055555555556,0.0,1348.409090909091,1141.6648387096773,1621.4822222222222,51209.25,0.0,853.9315384615385,1162.8268292682926
บางนา 1,None,None,Private,101,2700,7,84,0.035856573705179286,0.9641434262948207,251,991.9473684210526,700.0,745.0,3592.633333333333,924.04,10855.23076923077,472.0,0.0,688.2727272727273,9168.742857142857
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,0.06896551724137931,0.9310344827586207,1827,7278.642937062938,1538.894171779141,4115.694444444444,1247.9451219512196,2705.70260034904,3637.9202941176472,5617.4125,0.0,5325.523445378151,3233.0716666666667
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,0.12987012987012986,0.8701298701298701,308,3869.5151515151515,1896.7291666666667,900.0,1045.9479166666667,2254.5135135135133,2605.3166666666666,2763.0416666666665,0.0,2965.6,2407.985576923077
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,0.06396713615023474,0.9360328638497653,1704,4638.349316239316,2489.398305084746,1545.55,1482.342105263158,3324.41891509434,6418.745094339623,7858.805882352941,0.0,5604.34633027523,3682.736263736264
บางมด,None,None,Private,203,4000,9,71,0.07773851590106007,0.9222614840989399,283,1311.9444444444443,1467.952380952381,450.0,7817.905192307692,1552.4871794871794,2053.15,1389.4,0.0,899.25,11411.681818181818
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,0.21739130434782608,0.782608695652174,46,0.0,1810.909090909091,10754.0,17259.105263157893,313.0,600.0,0.0,0.0,0.0,0.0
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,0.07317073170731707,0.926829268292683,2419,77402.2190909091,6374.905420560748,18371.305357142857,16541.14050955414,5430.098103448277,11599.845136986301,9841.037417218544,0.0,7881.797261904761,7382.017567567568
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,0.05484024797329518,0.9451597520267048,2097,7554.314926470589,6701.228035714285,6909.180869565217,3766.4966972477064,3947.292156862745,7978.746477272728,11836.367886178863,1518.8899999999999,8446.919230769232,3015.598805970149
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,0.0617124394184168,0.9382875605815832,3095,4775.646911764707,1967.3909392265193,1263.715625,5798.239082568808,2692.418990929705,6913.994029126214,3803.948418079096,0.0,3075.8756934306566,2990.8807758620687
บุญญาเวช,None,None,Private,29,2900,8,8,0.09302325581395349,0.9069767441860465,43,0.0,18061.8,0.0,4656.214482758621,0.0,900.0,0.0,0.0,0.0,2640.0
ปิยะเวท,None,BHGRT,Private,150,5760,9,243,0.04880478087649402,0.951195219123506,1004,7049.050847457627,1682.152191780822,24907.5,1774.041891891892,1845.5803896103898,5197.192149532711,10019.135813953488,0.0,4274.9575,2735.8125
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,0.06648103028193526,0.9335189697180647,2873,10391.077181208053,2950.424623115578,10156.69,5015.580291970803,5799.679104477612,5636.464117647059,5639.004189944134,0.0,9301.163961038961,4119.281818181818
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,0.07105802871275184,0.929183254916154,8289,6936.915319587629,2192.3946957878316,11418.029411764706,2963.533076923077,3695.271394374626,8980.261057692307,7543.458949416342,1300.0,8190.924333333333,3121.17593175853
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,0.09791477787851315,0.9020852221214869,4412,10889.847832817337,2478.876865671642,14374.958333333334,4387.784172661871,4461.405240174672,9299.647916666667,8960.068897637795,2171.0,7216.674418604651,4199.943620178042
