ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 2,กลุ่มที่ 4,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 18
ตำรวจ,None,None,Public,485,8,363,50,0.6273364485981309,0.3726635514018692,759,3274.598323170732,2253.8548387096776,2950.0416666666665,6380.394736842105,3186.2972972972975,4319.953608247422,3007.96
ทหารเรือกรุงเทพ,None,None,Public,40,3,10,50,0.9998754631215169,0.00012453687848314082,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ทหารผ่านศึก,None,None,Public,277,9,101,50,0.36075949367088606,0.6392405063291139,102,1533.0982142857142,0.0,0.0,4589.083333333333,3505.5,2763.1388888888887,1074.7826086956522
ทหารอากาศ (สีกัน) พอ.,None,None,Public,150,5,31,50,0.0898876404494382,0.9101123595505618,5817,33.89099526066351,17.45398773006135,0.0,0.0,0.0,4.180746561886051,5.193548387096774
ธนบุรี 1,Top,THG,Private,435,9,625,120,0.2230699461132156,0.7769300538867844,16451,1776.4654560201877,1463.5416040955631,1545.3778280542986,622.2932908545727,3884.8726495726496,1437.8148567119156,1860.5394325153375
ธนบุรี 2,None,THG,Private,95,9,222,140,0.15537560076371057,0.8446243992362894,8906,798.9712244423791,1738.6352040816328,1623.793007518797,1780.9340134340887,6289.735586419753,1364.207178030303,1411.7060778443115
ธนบุรี บำรุงเมือง,None,THG,Private,1400,8,86,200,0.21762589928057555,0.7823741007194245,5176,1495.1900383141763,0.0,22.175732217573223,43.357358870967744,392.70062695924764,52.79099678456592,152.38149779735681
นครธน,None,None,Private,150,8,60,150,0.11947614306502259,0.8805238569349774,7935,933.7734960458134,1113.8618090452258,1066.982647975078,1581.2374727120066,3716.4028525641024,1306.40109375,1822.3850731707316
นพรัตนราชธานี,None,None,Public,609,9,128,150,0.357630979498861,0.642369020501139,286,1542.0368098159508,1833.3333333333333,3183.777777777778,2585.0,3059.625,1151.983606557377,1856.9166666666667
นวเวช,None,None,Private,99,8,240,100,0.03333333333333333,0.9666666666666667,4222,0.0,6.968641114982578,56.68235714285714,4.749608763693271,8.798045602605864,0.0,0.0
นวมินทร์,None,None,Private,180,9,92,100,0.23508771929824562,0.7649122807017544,145,1591.5604395604396,0.0,0.0,704.3,2290.0,233.96428571428572,1214.7857142857142
นวมินทร์ 9,None,None,Private,245,9,179,100,0.19758229192191457,0.8024177080780854,10662,999.633398931684,542.5412844036697,236.29787234042553,609.6345609065156,1911.871485943775,576.3663133097762,892.4704491725769
นันอา,None,None,Private,30,5,14,0,0.21428571428571427,0.7857142857142857,246,0.0,0.0,4678.52,0.0,0.0,0.0,0.0
บางโพ,None,None,Private,100,9,155,50,0.2784966112138016,0.7215033887861984,5912,980.1148846576349,1898.3004733727812,2155.5704761904763,2241.839495472186,5466.711219512195,1293.3573138297872,1352.3346913580247
บางไผ่,None,None,Private,100,9,8,100,0.0884450784593438,0.9115549215406562,3401,962.0116842105261,77.93027777777777,138.6214953271028,23.961821259309406,121.61116666666666,113.67454545454545,47.44064102564103
บางนา 1,None,None,Private,101,7,84,100,0.1529051987767584,0.8470948012232415,1115,949.7582417582418,222.72727272727272,2343.021739130435,194.12605042016807,1370.0776699029127,174.42857142857142,224.88118811881188
บางปะกอก 1,None,BHGRT,Private,120,7,171,100,0.1736260775862069,0.8263739224137931,6967,1009.7747754259163,456.0722727272727,299.21491228070175,1044.018579124579,1121.898321995465,444.1746153846154,1257.415257936508
บางปะกอก 8,None,BHGRT,Private,200,9,219,80,0.18926553672316385,0.8107344632768362,1124,508.47983870967744,406.4419642857143,534.1010638297872,1023.5214723926381,566.3731884057971,380.4349315068493,926.75
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,7,285,120,0.14148244473342003,0.85851755526658,4086,1048.3026690211907,1688.212643678161,582.7137931034483,2069.8291042584437,5933.607383720931,1582.1663822525597,3747.691717791411
บางมด,None,None,Private,203,9,71,200,0.08373904576436222,0.9162609542356378,633,616.2567567567568,1100.9642857142858,6254.324153846154,1121.2407407407406,8212.6,4722.139534883721,899.25
บ้านแพ้ว สาขาแจ้งวัฒนะ,None,None,Public,10,2,17,50,0.64375,0.35625,3041,911.25,64.7452229299363,730.718820861678,1.088695652173913,1.3363028953229399,26.085918854415276,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,6,47,50,0.038461538461538464,0.9615384615384616,3088,0.0,256.7105263157895,51.196825396825396,0.0,1.5235457063711912,4.148148148148148,0.0
บำรุงราษฎร์,Top,BH,Private,580,9,1133,300,0.17510572636872784,0.8248942736312721,10259,3399.036410881039,1620.2253681710215,6110.491905882353,705.6288797610157,4140.776014669927,1072.633723628692,2267.3663356164384
บีเอ็นเอช : BDMS,None,BDMS,Private,86,9,291,350,0.14528502301428065,0.8547149769857193,4864,1617.0382721382284,2931.7872656249997,2598.405949367089,3385.97996941896,4997.364341637011,7302.953068965518,5264.860616438357
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,5,145,80,0.13386751398770463,0.8661324860122953,8155,907.6689609104409,1159.9275570032573,5401.778290598291,1880.2165874901027,4081.0394555873927,938.8295473251029,1889.6635426008968
บุญญาเวช,None,None,Private,29,8,8,120,0.04878048780487805,0.9512195121951219,76,4832.5,12041.2,2755.718775510204,0.0,0.0,0.0,0.0
ประสานมิตร,None,None,Public,0,2,0,50,0.5,0.5,1728,1122.8617021276596,0.0,791.3636363636364,0.0,0.0,0.0,0.0
ปิยะเวท,None,BHGRT,Private,150,9,243,150,0.11692769791890152,0.8830723020810984,3211,882.9391329904481,797.3838311688312,875.1940000000001,1221.573266475645,3022.2802173913046,1292.072084942085,2051.9796
พญาไท 1 : BDMS,Top,BDMS,Private,174,9,245,150,0.17203332582751632,0.8279666741724837,21843,1656.2511286681715,605.9179566563467,444.45957309184996,615.569900990099,836.1246945898779,1072.4321329639888,1292.7610559566788
พญาไท 2 : BDMS,Top,BDMS,Private,260,9,535,180,0.14672756402592124,0.8532724359740788,32160,1248.2829186869087,1062.2260015117158,1140.6641006661732,1117.610588235294,3155.226858108108,1234.5578759482376,3018.768181818182
พญาไท 3 : BDMS,None,BDMS,Private,230,9,412,150,0.22906982316576413,0.7709301768342359,16484,1399.136161449753,982.75,1999.6786885245901,1615.5309930423782,3253.521137026239,3501.6851098454026,2080.3374301675976
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,9,57,80,0.12154989384288747,0.8784501061571125,7565,707.2818725695482,1374.9781659388645,1219.9630350194552,1799.683412322275,3618.6167512690354,1228.1237785016287,2603.85223880597
พระมงกุฎเกล้า,Top,None,Public,953,9,249,50,0.33135681897453784,0.6686431810254622,1712,2526.780729517396,1728.5314685314686,2396.644578313253,2459.2074725274724,5155.281531531532,3942.7635746606334,2160.714285714286
พระราม 2,None,None,Private,109,7,15,135,0.25316455696202533,0.7468354430379747,11226,386.46,0.0,27.21595598349381,1.152442448062886,2.229090909090909,0.9384339509862523,3.195266272189349
พระรามเก้า,Top,None,Private,166,9,340,250,0.1049144634525661,0.895085536547434,17920,1158.6991229044077,2089.8803945745994,1656.5355769230769,2046.5080422794117,3747.6213991769546,2312.2327586206898,3387.7933227344993
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,9,221,50,0.23052959501557632,0.7694704049844237,371,1207.595029239766,1918.2857142857142,5709.321428571428,733.7857142857143,1298.8382352941176,813.1071428571429,1870.4
มเหสักข์,None,None,Private,132,9,44,100,0.6,0.4,7211,1346.320512820513,0.0,0.0,0.0,463.8301075268817,3.207505518763797,1.5918367346938775
มงกุฎวัฒนะ,None,None,Private,100,8,411,75,0.12968400099527247,0.8703159990047276,11173,684.3749784327821,1271.7876307692306,1006.802271468144,1517.4137798696597,2627.577714285714,827.787331118494,2575.7117659137575
มิชชั่น,None,None,Private,120,6,107,150,0.264993481095176,0.7350065189048239,1814,2690.12879708384,834.8841463414634,3726.809523809524,5512.344,5591.117647058823,3755.060869565217,1889.142857142857
มิตรประชา,None,None,Private,148,9,55,120,0.13871635610766045,0.8612836438923396,6680,233.29526462395543,24.0,34.46153846153846,72.32218992248062,4.44300518134715,2.393939393939394,12.149837133550488
รัชดา-ท่าพระ,None,None,Public,25,8,10,100,0.14457831325301204,0.8554216867469879,108,286.05555555555554,0.0,162.5,0.0,1804.5,513.5714285714286,280.0
ราชพิพัฒน์,None,None,Public,277,8,200,100,0.04,0.96,335,34.66438356164384,16.071428571428573,0.0,0.0,24.512048192771083,0.0,0.0
ราชวิถี,Top,None,Private,1031,9,347,100,0.4793491864831039,0.5206508135168961,14109,3484.1867088607596,84.48958333333333,336.5249457700651,10.724520866917429,185.46802773497689,84.1275,70.53324287652646
รามคำแหง,Top,RAM,Public,486,9,327,80,0.16053178230162027,0.8394682176983798,28266,743.5601192959042,577.5562813738441,782.1435084427767,1890.3118511603097,2685.4654296875,1259.7480663556244,1415.5676009892825
รามาธิบดี,Top,None,Private,1378,9,1041,100,0.3632397438603898,0.6367602561396102,18847,4552.393673791724,2109.825260067114,3346.7860456273766,2882.313195991091,5711.843376068376,5188.03002617801,2564.66500967118
ราษฎร์บูรณะ,None,None,Public,124,9,46,200,0.2292358803986711,0.770764119601329,1356,1131.1105919003114,1424.046511627907,8042.888888888889,2749.0,7147.448275862069,526.7619047619048,14527.285714285714
ลาดพร้าว,None,None,Private,180,8,206,200,0.0,1.0,9934,2.6736842105263157,0.0,0.0,0.0,0.0,0.0,0.7544554455445545
วชิรพยาบาล,Top,None,Public,740,9,341,50,0.14498595334066203,0.855014046659338,19968,878.6774244332494,1755.1070463576157,1461.3320518358528,1734.1549857084522,4666.376656050956,1313.0365702718336,1734.6043572778824
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,9,7,110,0.242914979757085,0.757085020242915,1559,850.2,21.463414634146343,7025.158695652175,99.06753246753247,157.93478260869566,105.30534351145039,39.51145038167939
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,8,137,80,0.2550670408481447,0.7449329591518553,6654,923.4926542605289,185.22260273972603,22.33273056057866,459.2554599602912,524.7958515283843,80.83260869565217,758.0685714285714
วิชัยยุทธ,None,None,Private,207,9,716,250,0.21335126543587235,0.7866487345641276,16919,1666.9105222981116,1174.400481540931,1316.742098092643,811.6321596109839,3516.0888953866142,924.9093445287107,2015.3337591240877
วิภาราม,None,VIBHA,Private,150,9,272,100,0.1461569273220882,0.8538430726779118,26426,948.5460410557184,1021.5101050929669,376.048353909465,510.1150917003419,1042.1475667189952,643.36568457539,469.55591467356174
วิภาวดี,None,None,Private,258,8,417,80,0.19014567266495286,0.8098543273350471,30545,1098.8772736358185,1428.0364415862807,1119.1977886977886,2277.584295032614,4604.084239130435,1435.2940243257535,3422.73232799246
วิมุต,None,None,Private,236,7,232,150,0.041353383458646614,0.9586466165413534,10183,0.0,0.0,648.2621416234888,4.6800288646568315,127.60757575757576,71.06137168141593,10.263246425567704
ศิครินทร์,None,None,Private,258,9,348,120,0.16857134196247234,0.8314286580375276,19981,1064.2084354081328,1531.6034569536423,1520.9983861671471,2002.6151668422908,4837.714483221475,1194.7834524495677,2601.1183290707595
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,9,615,180,0.4822285322628023,0.5177714677371977,34438,4958.908012351181,2013.2521137586473,2724.7386196769457,4075.332336821126,7469.7879101899825,8054.189126622239,4614.557966549295
ศิริราชพยาบาล,None,None,Public,2112,9,2263,130,0.5189222669557139,0.48107773304428614,8784,3643.900879145337,2789.85822147651,10403.847222222223,3852.0308641975307,5818.047018348624,6538.657180385289,4909.736111111111
สงฆ์,None,None,Public,297,6,35,0,1.0,0.0,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,0,173,150,0.9999417526482522,5.824735174774819e-05,191,0.0,3971.25,23429.777777777777,229.01470588235293,1487.4,5328.1875,177.1851851851852
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6,85,300,0.19104991394148021,0.8089500860585198,2526,2386.3140571428576,119.44444444444444,802.2526744186048,64.2699894625922,263.54984126984124,873.8574390243903,450.97480769230765
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,8,256,300,0.09476346325498364,0.9052365367450164,8745,836.9643098889476,302.71511737089196,319.70480417754567,528.4394460520878,883.4362833099578,640.0518232819074,646.6615406162465
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,9,8,200,0.14540082419718528,0.8545991758028147,10669,1270.728063660478,863.6477158774371,945.2882038834952,1611.37092369478,3897.2388086185033,2009.5970282485878,1455.554043010753
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,7,571,300,0.16159543142678684,0.8384045685732132,6700,2816.059474999999,5124.369696969697,1588.2032386363637,3286.8574036511145,5962.579906103286,1584.2415634674921,3201.755516129032
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,7,45,30,0.04,0.96,254,308.5625,10561.538461538461,7196.451142857143,404.4074074074074,18057.14285714286,1172.5,0.0
สหวิทยาการมะลิ,None,None,Private,19,6,10,150,0.041666666666666664,0.9583333333333334,152,526.2786885245902,0.0,1433.5,628.6,0.0,1000.0,0.0
สายหยุด,None,None,Private,6,4,4,200,0.0,1.0,6177,38.983050847457626,0.0,0.0,0.0,6.711538461538462,0.0,10.065727699530516
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,9,21,100,0.21560562342685247,0.7843943765731475,20345,841.5878393051031,546.128818061089,963.5979452054795,776.2484250830804,1048.8816844919786,388.85,1249.6470588235295
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,9,231,100,0.20740499102919588,0.7925950089708041,17945,882.9996960179471,982.1788359788359,925.3735849056604,2457.556980149691,4995.610892351275,1958.3073606729758,1675.8546448087432
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,9,258,150,0.2427843803056027,0.7572156196943973,1044,887.0350877192982,903.3333333333334,1132.093023255814,793.5324675324675,1635.24,1147.880733944954,1205.0277777777778
สิรินธร,None,None,Private,305,0,144,150,0.788235294117647,0.21176470588235294,136,4941.272727272727,0.0,2980.0,6507.05,2308.0,5873.87962962963,975.65
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,4,5,510,0.07263922518159806,0.927360774818402,354,359.0,2749.8214285714284,0.0,1617.3610714285714,8036.852459016393,4404.843137254902,3113.7741935483873
สุขสวัสดิ์,None,None,Private,100,8,49,50,0.3804347826086957,0.6195652173913043,4200,639.1784615384615,0.0,185.119140625,0.700734394124847,113.8187037037037,22.24764150943396,66.34146341463415
สุขุมวิท,None,RAM,Private,135,8,46,170,0.1477674269193704,0.8522325730806296,12778,1174.8195368645195,152.57014925373133,1644.6656217345871,885.0399659863946,1073.195688225539,1189.9606299212599,816.7311072056239
หัวเฉียว,None,None,Private,338,6,391,50,0.08560084700899948,0.9143991529910005,11206,725.6012365306483,1490.535578465063,2040.9963235294117,944.2637153772683,2290.24347826087,1192.8722136817833,1038.2472727272727
อินทรารัตน์,None,None,Private,152,8,21,150,0.04065040650406504,0.959349593495935,81,0.0,0.0,5358.234848484848,1100.0,0.0,35.666666666666664,0.0
