ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
ศิริราชพยาบาล,0,0,0,2112,1000,9,0,2263,130,437,2922.625,33535.16186440678,613.75,2154.904761904762,0,3700.3333333333335,9885.625,515.0,23470.055555555555,3516.1785714285716,37929.21296296296,18448.0,12672.403846153846,18584.793859649122,50576.75,0.0,2960.0,4060.6052631578946,4964.75,3795.318181818182,20165.0
สถาบันโรคไตภูมิราชนครินทร์,0,0,1,128,3000,3,1,83,400,52,1450.0,0.0,0.0,0.0,0,0.0,0,0.0,2246.4285714285716,0.0,20933.04,0.0,0.0,2997.6464285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สถาบันโรคผิวหนัง,0,0,0,10,1200,0,1,32,100,67,185.0,580.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,30524.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.5,0.0
สถาบันประสาทวิทยา,0,0,0,300,1100,4,1,79,100,66,0.0,5455.0,0.0,0.0,0,2617.846153846154,1386,0.0,125413.48387096774,0.0,0.0,0.0,1330.4,0.0,0.0,0.0,0.0,3858.875,0.0,0.0,0.0
สถาบันมะเร็งแห่งชาติ,0,0,0,163,2000,0,1,63,100,41,705.0,4404.166666666667,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1210.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สถาบันสุขภาพเด็กแห่งชาติมหาราชินี(โรงพยาบาลเด็ก),0,0,0,433,1000,8,1,108,300,4,0.0,0.0,1014.0,0.0,0,0.0,0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,0,0,0,414,2200,0,0,173,150,26,1323.0,29343.0,0.0,1838.3333333333333,0,0.0,9577.714285714286,2328.0,2214.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.0,0.0,0.0,0.0
สมิติเวชไชน่าทาวน์ : BDMS,0,1,1,31,6190,6,0,85,300,43,6446.4400000000005,0.0,0.0,2150.0,0,0.0,1320.486,19367.690000000002,0.0,1596.03625,0.0,8241.705,1974.4411764705883,23623.0,0.0,0.0,0.0,1184.7625,0.0,3708.805,0.0
สมิติเวชธนบุรี : BDMS,0,1,1,150,6190,8,0,256,300,378,48976.77818181819,1690.0,1506.3333333333333,1501.8652631578948,0,0.0,2684.7573684210524,1761.7775,1939.5714285714287,2549.6106122448978,3146.2135897435896,29998.22,1928.1725675675677,1216.4273076923077,0.0,0.0,0.0,1808.397894736842,2492.9175,2359.3333333333335,1000.0
สมิติเวชศรีนครินทร์ : BDMS,1,1,1,154,7255,9,0,8,200,609,6444.730857142857,2288.2,1561.9133333333332,1794.0272727272727,0,1519.2,1918.6444000000001,3161.808666666667,1857.577380952381,2706.649909090909,8184.898524590164,78187.70000000001,4885.02945945946,4278.395714285714,0.0,0.0,1911.2,3549.7433333333333,13241.947894736842,42857.30741935484,154290.07999999996
