ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,แผนกพื้นฐานในการรักษา,จำนวนแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 17,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
ลาดพร้าว,0,0,1,180,8,206,1559,12131.72037037037,819.3088235294117,2749.1885350318476,0,3060.9777777777776,1564.0423880597014,1641.2642857142857,2812.674867724868,57205.565,1628.5670526315787,9478.421194029848,0.0,0.0,7302.439090909091,3069.283076923077,36968.75
วชิรพยาบาล,1,0,0,740,9,341,104,0.0,0.0,2894.8888888888887,0,0.0,1110.0,0.0,1889.888888888889,558.5,7131.25,6675.630952380952,0.0,0.0,0.0,1312.0,25770.0
วิชัยเวช แยกไฟฉาย,0,0,1,49,9,7,24,1120.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1475.5,790.0,0.0,0.0,0.0,3290.214285714286,0.0
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),0,0,1,172,8,137,115,6782.8,1120.0,923.0769230769231,0,1046.0,0.0,6919.0,1470.0,2862.0,1867.3,1204.0,0.0,0.0,10396.0,1285.2758620689656,0.0
วิชัยยุทธ,0,0,1,207,9,716,705,7466.435833333334,1251.8181818181818,9772.767333333333,0,10578.957142857142,8566.085454545455,4273.886666666667,29421.783783783783,156240.65,2233.778863636364,13299.004000000004,121460.85,0.0,5424.4400000000005,2312.8331746031745,32678.3
วิภาราม,0,1,1,150,9,272,865,3203.315789473684,1191.4,1138.5882352941176,0,1089.4285714285713,3152.839285714286,1160.5172413793102,4082.92,35642.0,1546.1891891891892,2595.2982456140353,0.0,0.0,1010.125,4456.946666666667,1689.0
วิภาวดี,0,0,1,258,8,417,1535,8311.192982456141,0.0,3761.1643835616437,0,9055.76923076923,2486.754716981132,3480.6744186046512,7085.114461538462,133864.5,2276.120535714286,3152.0446428571427,49604.5,0.0,10129.875,2663.1138211382113,134807.0
วิมุต,0,0,1,236,7,232,55,1463.8899999999999,0.0,0.0,0,980.0,744.5,1445.0,2080.0,1322.0,1911.9,1417.3333333333333,0.0,0.0,0.0,1147.3333333333333,4998.0
ศิครินทร์,0,0,1,258,9,348,1148,4418.73552238806,1980.0,2657.8769512195117,0,7702.6,2491.651923076923,2995.388,9060.651130434782,73669.24000000002,1873.7085106382976,2441.7354166666664,0.0,1182.5,33094.84444444444,6639.1783505154635,55418.8
ศิริราช ปิยมหาราชการุณย์,1,0,1,0,9,615,1708,7778.096385542169,17636.444444444445,5432.48,0,28461.92,25575.468253968254,6110.32,58594.64356435643,308752.0,23053.758928571428,23442.697872340425,0.0,0.0,38733.42105263158,15839.40579710145,68280.0
ศิริราชพยาบาล,0,0,0,2112,9,2263,437,2922.625,613.75,2154.904761904762,0,3700.3333333333335,9885.625,515.0,23470.055555555555,18448.0,12672.403846153846,18584.793859649122,50576.75,2960.0,4964.75,3795.318181818182,20165.0
สถาบันโรคไตภูมิราชนครินทร์,0,0,1,128,3,83,52,1450.0,0.0,0.0,0,0.0,0.0,0.0,2246.4285714285716,0.0,0.0,2997.6464285714283,0.0,0.0,0.0,0.0,0.0
สถาบันโรคผิวหนัง,0,0,0,10,0,32,67,185.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30524.25,0.0,0.0,0.0,0.0,0.0,512.5,0.0
สถาบันประสาทวิทยา,0,0,0,300,4,79,66,0.0,0.0,0.0,0,2617.846153846154,1386.0,0.0,125413.48387096774,0.0,1330.4,0.0,0.0,0.0,0.0,0.0,0.0
สถาบันมะเร็งแห่งชาติ,0,0,0,163,0,63,41,705.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1210.6875,0.0,0.0,0.0,0.0,0.0
สถาบันสุขภาพเด็กแห่งชาติมหาราชินี(โรงพยาบาลเด็ก),0,0,0,433,8,108,4,0.0,1014.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,0,0,0,414,0,173,26,1323.0,0.0,1838.3333333333333,0,0.0,9577.714285714286,2328.0,2214.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สมิติเวชไชน่าทาวน์ : BDMS,0,1,1,31,6,85,43,6446.4400000000005,0.0,2150.0,0,0.0,1320.486,19367.690000000002,0.0,8241.705,1974.4411764705883,23623.0,0.0,0.0,0.0,3708.805,0.0
สมิติเวชธนบุรี : BDMS,0,1,1,150,8,256,378,48976.77818181819,1506.3333333333333,1501.8652631578948,0,0.0,2684.7573684210524,1761.7775,1939.5714285714287,29998.22,1928.1725675675677,1216.4273076923077,0.0,0.0,2492.9175,2359.3333333333335,1000.0
สมิติเวชศรีนครินทร์ : BDMS,1,1,1,154,9,8,609,6444.730857142857,1561.9133333333332,1794.0272727272727,0,1519.2,1918.6444000000001,3161.808666666667,1857.577380952381,78187.70000000001,4885.02945945946,4278.395714285714,0.0,1911.2,13241.947894736842,42857.30741935484,154290.07999999996
สมิติเวชสุขุมวิท : BDMS,1,1,1,275,7,571,561,50951.028399999996,2051.1057142857144,5353.385526315789,0,1655.0557142857144,5528.034999999999,4650.124545454546,17727.279459459463,33172.605,1619.8515454545457,31377.202500000003,148411.33,23236.3825,17718.675,2470.447916666667,19190.59
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,0,0,0,60,7,45,26,6860.0,0.0,4200.625,0,350.0,0.0,0.0,2415.0,3566.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,0,0,1,19,6,10,3,0.0,0.0,0.0,0,0.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,4914.0,0.0
สินแพทย์ ,0,1,1,287,9,258,264,10209.684210526315,2242.5,1710.3636363636363,0,700.0,1363.875,4722.666666666667,22537.0,5777.0,1736.2631578947369,18144.4,0.0,0.0,14428.0,2044.0600000000002,918.0
สินแพทย์  ศรีนครินทร์,0,1,1,110,9,21,28,1578.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1156.0,1536.625,1924.0,0.0,0.0,600.0,2854.5,0.0
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),0,0,1,52,4,5,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1415.5,0.0,0.0,0.0,1065.0,0.0,0.0
สุขสวัสดิ์,0,0,1,100,8,49,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1347.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0
สุขุมวิท,0,1,1,135,8,46,322,3427.0882352941176,0.0,2185.5,0,1688.0,9082.861111111111,1457.6,24593.227777777778,41082.5,1837.35,9515.916666666666,0.0,0.0,26408.5,3788.809523809524,20977.0
หัวเฉียว,0,0,1,338,6,391,714,3191.1976744186045,1977.0,1293.8202247191011,0,1110.625,5477.938775510204,955.0,1982.530864197531,21025.75,2485.805970149254,3023.1341463414633,0.0,0.0,1402.5,6417.1036585365855,885.0
อินทรารัตน์,0,0,1,152,8,21,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1456.5,1498.0,0.0,0.0,0.0,0.0,1580.25,0.0
