ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
จุฬาภรณ์,None,None,Public,115,3500,8,445,100,529,0.15500945179584122,0.8468809073724007,17270.666666666668,7834.161470588235,6784.791666666667,1203.6842105263158,4779.25,5678.948275862069,125.0,3277.1875,554.53125,4026.0172413793102,1320.25,2688.3934426229507,5506.666666666667,2230.0,0.0,0.0,1796.9916666666666,0.0,1093.9666666666667,506.0769230769231
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,20,3662,0.14882577826324414,0.8511742217367558,6826.422535211268,11914.058548850575,9420.588235294117,2670.9801699716713,7376.163636363636,9815.628391167193,3312.246031746032,10331.432773109243,7763.614840989399,12344.07003257329,1928.4953271028037,11209.890510948906,7005.161691542288,22095.0,0.0,9512.333333333334,4704.467153284671,8058.642857142857,14055.190476190477,2002.7142857142858
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,150,1881,0.0935672514619883,0.9064327485380117,6822.961538461538,6697.6,2204.4,3598.5581395348836,2557.3333333333335,3237.0,1465.6615384615384,3191.027027027027,3523.4820788530465,4205.821138211382,1490.218085106383,1899.7062146892656,2146.7021276595747,0.0,0.0,0.0,5746.459459459459,2864.8571428571427,2064.285714285714,1215.0
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,50,1802,0.06381798002219756,0.9361820199778025,3893.4201680672268,20956.2,0.0,1446.4158415841584,8629.142857142857,2223.6,1287.64,12009.831775700935,2866.0979782270606,3263.2815533980583,1118.1975308641975,1441.2261904761904,3444.6923076923076,0.0,0.0,0.0,2412.0975609756097,2079.6363636363635,5932.027932960894,579.5
ตำรวจ,None,None,Public,485,1600,8,363,50,182,0.3131868131868132,0.6868131868131868,2353.0,12038.297619047618,740.0,6986.95,8210.5,7866.777777777777,0.0,1741.7692307692307,60613.75,13869.764705882353,1902.6666666666667,13967.85,13950.1,0.0,0.0,0.0,15039.8,20882.5,50256.28571428572,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,101,50,53,0.20754716981132076,0.7924528301886793,0.0,10550.0,0.0,427.5,0.0,2488.0,0.0,435.0,3441.8125,3505.5,4558.5,3825.8846153846152,0.0,0.0,0.0,0.0,4120.0,0.0,2559.375,0.0
ธนบุรี 1,Top,THG,Private,435,5620,9,625,120,3832,0.0861169102296451,0.9138830897703549,7858.772368421052,23689.805405405405,2451.153846153846,3212.117528089888,8920.92808219178,4378.570512820513,3818.485294117647,9765.326335877862,2887.4408695652173,11714.693298969072,1721.0185758513933,3259.0470085470088,5164.702272727272,0.0,0.0,0.0,5804.170861244019,14139.857142857143,11251.391420118343,1468.3333333333333
ธนบุรี 2,None,THG,Private,95,5350,9,222,140,2943,0.07747196738022426,0.9225280326197758,7182.475863636363,21304.859375,650.0,3373.9851485148515,1446.6315789473683,2918.438783783784,3115.8288888888883,3138.0495867768595,2921.614889807162,11384.77279329609,1640.3601754385966,2301.2823961661343,9149.162162162162,85789.66666666667,4000.0,0.0,3164.495503355705,4329.5116,3740.669930875576,4221.346153846154
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,200,75,0.08,0.92,3056.6666666666665,0.0,0.0,0.0,0.0,2650.0,2649.0,5511.0,2966.2413793103447,22776.636363636364,1726.888888888889,2736.3333333333335,0.0,0.0,0.0,0.0,17295.3,0.0,15734.857142857143,850.0
นครธน,None,None,Private,150,4500,8,60,150,2755,0.06497277676950998,0.9357531760435571,8190.676865671643,1288.0,1387.055833333333,1862.676470588235,6607.1876923076925,2575.198721804511,2391.76031496063,12881.496016949159,2402.1094770408163,7385.462993630573,1562.7265737051791,1944.410930232558,11361.28202247191,0.0,0.0,0.0,3365.666126126126,1666.2772222222222,3816.133881118881,1468.0
