Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
75,สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,173,0.2446808510638298,0.7553191489361702,94,4850.0,1221.923076923077,0.0,23429.77777777778,689.9852941176471,4958.0,1133.0,0.0,1594.666666666667,586.5,1,Second
76,สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,0.1197604790419162,0.8802395209580839,167,4130.099,2150.0,0.0,8624.216250000001,1694.228333333333,6641.456,27957.10285714285,0.0,5411.697692307693,2886.764090909091,1,Second
77,สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,0.04176201372997712,0.9582379862700228,1748,12861.80992248062,1499.495813953488,1595.955555555556,1943.602222222222,2911.833758542142,4404.825664335664,3216.893059701493,0.0,2455.937978723405,3943.142164179104,1,Second
78,สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,0.06523605150214593,0.9353361945636623,3495,11701.33352000001,3370.103586956521,1831.252,2562.228552631579,3732.384744186049,10789.19796491227,9130.227538461535,1911.2,4366.662129032259,11653.35553846154,1,Second
80,สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,0.09243697478991596,0.9075630252100841,119,6860.0,10561.53846153846,350.0,7196.451142857143,992.6363636363636,18057.14285714286,0.0,0.0,0.0,0.0,1,Second
81,สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,0.03333333333333333,0.9666666666666668,30,0.0,0.0,0.0,1433.5,523.8333333333334,0.0,0.0,0.0,0.0,3407.5,1,Second
82,สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,0.1260827718960539,0.8739172281039461,3117,10554.62268085106,2492.333333333333,9339.05882352941,5328.988636363636,5141.067320574162,7366.793427230047,6053.016666666666,1766.5,7192.850393700787,3267.088433179724,1,Second
83,สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,0.1247870528109029,0.8752129471890971,4696,11027.24635568513,2250.082424242424,5139.670999999999,2483.281012658228,4926.335681669928,9769.809667590029,11424.81226993865,0.0,4339.831132075471,3385.604194260485,1,Second
85,สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,0.0847457627118644,0.9152542372881356,354,10131.14285714286,2749.821428571428,4626.416666666667,0.0,1617.361071428571,8036.852459016392,6796.428571428572,0.0,3861.08,7617.176470588235,1,Second
86,สุขสวัสดิ์,None,None,Private,100,4200,8,49,0.1666666666666667,0.8333333333333334,30,0.0,0.0,0.0,6318.733333333334,1145.0,15365.525,0.0,0.0,8160.0,5084.706666666666,1,Second
87,สุขุมวิท,None,RAM,Private,135,2760,8,46,0.06619718309859154,0.9342723004694836,2130,5739.838323353293,2174.936170212766,2587.4,10634.76351351351,3440.684297520661,5016.565891472868,8246.753086419752,0.0,3905.210084033613,4210.091503267974,1,Second
88,หัวเฉียว,None,None,Private,338,3300,6,391,0.03787506148548942,0.9621249385145104,4066,2156.866236162361,2891.639022222222,1422.916666666667,3998.001028806584,1626.059391447368,4083.379844961241,3220.538990825688,0.0,1852.008648648648,3728.023111111111,1,Second
89,อินทรารัตน์,None,None,Private,152,3800,8,21,0.04065040650406504,0.9593495934959351,123,0.0,0.0,0.0,5358.234848484848,1100.0,0.0,0.0,0.0,0.0,1580.25,1,Second
